region_name,la_name,urn,school_type,school_name
Inner London,City of London,100000,State-funded primary,The Aldgate School
Inner London,Camden,136807,State-funded primary,St Luke's Church of England School
Inner London,Camden,100008,State-funded primary,Argyle Primary School
Inner London,Camden,100009,State-funded primary,West Hampstead Primary School
Inner London,Camden,100010,State-funded primary,Brecknock Primary School
Inner London,Camden,100011,State-funded primary,Brookfield Primary School
Inner London,Camden,100012,State-funded primary,Carlton Primary School
Inner London,Camden,100013,State-funded primary,Edith Neville Primary School
Inner London,Camden,100014,State-funded primary,Fleet Primary School
Inner London,Camden,100015,State-funded primary,Hawley Primary School
Inner London,Camden,100018,State-funded primary,Netley Primary School & Centre for Autism
Inner London,Camden,100019,State-funded primary,New End Primary School
Inner London,Camden,100020,State-funded primary,Primrose Hill School
Inner London,Camden,100021,State-funded primary,Rhyl Community Primary School
Inner London,Camden,100022,State-funded primary,Richard Cobden Primary School
Inner London,Camden,100023,State-funded primary,Torriano Primary School
Inner London,Camden,100024,State-funded primary,Torriano Infant School
Inner London,Camden,100025,State-funded primary,Gospel Oak Primary School
Inner London,Camden,100026,State-funded primary,Fitzjohn's Primary School
Inner London,Camden,100027,State-funded primary,Eleanor Palmer Primary School
Inner London,Camden,130342,State-funded primary,Christopher Hatton Primary School
Inner London,Camden,132245,State-funded primary,Kingsgate Primary School
Inner London,Camden,100028,State-funded primary,"Christ Church Primary School, Hampstead"
Inner London,Camden,100029,State-funded primary,Christ Church School
Inner London,Camden,100030,State-funded primary,Emmanuel Church of England Primary School
Inner London,Camden,100031,State-funded primary,Hampstead Parochial Church of England Primary School
Inner London,Camden,100032,State-funded primary,"Holy Trinity CofE Primary School, NW3"
Inner London,Camden,100033,State-funded primary,"Holy Trinity and Saint Silas CofE Primary School, NW1"
Inner London,Camden,100034,State-funded primary,Kentish Town Church of England Primary School
Inner London,Camden,100035,State-funded primary,Rosary Catholic Primary School
Inner London,Camden,100036,State-funded primary,St Alban's Church of England Primary School
Inner London,Camden,100037,State-funded primary,St Aloysius Catholic Primary School
Inner London,Camden,100038,State-funded primary,St Aloysius Roman Catholic Infant School
Inner London,Camden,100039,State-funded primary,St Dominic's Catholic Primary School
Inner London,Camden,100040,State-funded primary,St George the Martyr Church of England Primary School
Inner London,Camden,100041,State-funded primary,St Josephs Catholic Primary School
Inner London,Camden,100042,State-funded primary,St Mary's Kilburn Church of England Primary School
Inner London,Camden,100043,State-funded primary,St Mary and St Pancras Church of England Primary School
Inner London,Camden,100044,State-funded primary,St Michael's Church of England Primary School
Inner London,Camden,100045,State-funded primary,St Patrick's Catholic Primary School
Inner London,Camden,100046,State-funded primary,St Paul's Church of England Primary School
Inner London,Camden,100047,State-funded primary,St Eugene de Mazenod Roman Catholic Primary School
Inner London,Camden,100048,State-funded primary,Our Lady Roman Catholic Primary School
Inner London,Camden,137181,State-funded secondary,The UCL Academy
Inner London,Camden,100049,State-funded secondary,Haverstock School
Inner London,Camden,100050,State-funded secondary,Parliament Hill School
Inner London,Camden,100051,State-funded secondary,Regent High School
Inner London,Camden,100052,State-funded secondary,Hampstead School
Inner London,Camden,100053,State-funded secondary,Acland Burghley School
Inner London,Camden,100054,State-funded secondary,The Camden School for Girls
Inner London,Camden,100055,State-funded secondary,Maria Fidelis Catholic School FCJ
Inner London,Camden,100056,State-funded secondary,William Ellis School
Inner London,Camden,100059,State-funded secondary,La Sainte Union Catholic Secondary School
Outer London,Greenwich,100111,State-funded primary,Millennium Primary School
Outer London,Greenwich,100112,State-funded primary,Alderwood Primary School
Outer London,Greenwich,100113,State-funded primary,Bannockburn Primary School
Outer London,Greenwich,100114,State-funded primary,Morden Mount Primary School
Outer London,Greenwich,100115,State-funded primary,Cherry Orchard Primary School
Outer London,Greenwich,100120,State-funded primary,Ealdham Primary School
Outer London,Greenwich,100125,State-funded primary,Fossdene Primary School
Outer London,Greenwich,100126,State-funded primary,Gallions Mount Primary School
Outer London,Greenwich,100127,State-funded primary,Gordon Primary School
Outer London,Greenwich,100128,State-funded primary,Greenacres Primary School and Language Impairment Unit
Outer London,Greenwich,100129,State-funded primary,Haimo Primary School
Outer London,Greenwich,100130,State-funded primary,Halstow Primary School
Outer London,Greenwich,100131,State-funded primary,Henwick Primary School
Outer London,Greenwich,100132,State-funded primary,Horn Park Primary School
Outer London,Greenwich,100134,State-funded primary,Invicta Primary School
Outer London,Greenwich,100136,State-funded primary,Kidbrooke Park Primary School
Outer London,Greenwich,100137,State-funded primary,Meridian Primary School
Outer London,Greenwich,100140,State-funded primary,Plumcroft Primary School
Outer London,Greenwich,100141,State-funded primary,Sherington Primary School
Outer London,Greenwich,100142,State-funded primary,Thorntree Primary School
Outer London,Greenwich,100145,State-funded primary,Woodhill Primary School
Outer London,Greenwich,100146,State-funded primary,Wyborne Primary School
Outer London,Greenwich,100148,State-funded primary,Brooklands Primary School
Outer London,Greenwich,100149,State-funded primary,Montbelle Primary School
Outer London,Greenwich,100150,State-funded primary,Boxgrove Primary School
Outer London,Greenwich,100151,State-funded primary,Rockliffe Manor Primary School
